Date,Category,Income,Expense,Profit
2023-01-05,Зарплата,120000,0,120000
2023-01-12,Фриланс,25000,0,25000
2023-01-15,Еда,0,8500,-8500
2023-01-18,Транспорт,0,3200,-3200
2023-01-22,Развлечения,0,5400,-5400
2023-02-02,Зарплата,120000,0,120000
2023-02-10,Фриланс,18000,0,18000
2023-02-14,Еда,0,9100,-9100
2023-02-19,Транспорт,0,3100,-3100
2023-02-25,Развлечения,0,6200,-6200
2023-03-07,Зарплата,125000,0,125000
2023-03-11,Фриланс,32000,0,32000
2023-03-16,Еда,0,8800,-8800
2023-03-20,Транспорт,0,3300,-3300
2023-03-28,Развлечения,0,7100,-7100
2023-04-04,Зарплата,125000,0,125000
2023-04-09,Фриланс,22000,0,22000
2023-04-13,Еда,0,9200,-9200
2023-04-18,Транспорт,0,3400,-3400
2023-04-24,Развлечения,0,5800,-5800
2023-05-02,Зарплата,125000,0,125000
2023-05-08,Фриланс,27500,0,27500
2023-05-12,Еда,0,8600,-8600
2023-05-17,Транспорт,0,3200,-3200
2023-05-23,Развлечения,0,6900,-6900
2023-06-06,Зарплата,130000,0,130000
2023-06-10,Фриланс,30000,0,30000
2023-06-14,Еда,0,9400,-9400
2023-06-19,Транспорт,0,3500,-3500
2023-06-26,Развлечения,0,7300,-7300
2023-07-03,Зарплата,130000,0,130000
2023-07-09,Фриланс,19500,0,19500
2023-07-13,Еда,0,8900,-8900
2023-07-18,Транспорт,0,3100,-3100
2023-07-25,Развлечения,0,6600,-6600
2023-08-01,Зарплата,130000,0,130000
2023-08-07,Фриланс,26000,0,26000
2023-08-11,Еда,0,9300,-9300
2023-08-16,Транспорт,0,3600,-3600
2023-08-22,Развлечения,0,8100,-8100
2023-09-05,Зарплата,132000,0,132000
2023-09-10,Фриланс,34000,0,34000
2023-09-14,Еда,0,9100,-9100
2023-09-19,Транспорт,0,3300,-3300
2023-09-26,Развлечения,0,7400,-7400
2023-10-02,Зарплата,132000,0,132000
2023-10-08,Фриланс,28500,0,28500
2023-10-12,Еда,0,9600,-9600
2023-10-17,Транспорт,0,3700,-3700
2023-10-24,Развлечения,0,7900,-7900
2023-11-06,Зарплата,132000,0,132000
2023-11-11,Фриланс,23000,0,23000
2023-11-15,Еда,0,8800,-8800
2023-11-20,Транспорт,0,3400,-3400
2023-11-27,Развлечения,0,6800,-6800
2023-12-04,Зарплата,135000,0,135000
2023-12-09,Фриланс,41000,0,41000
2023-12-13,Еда,0,10200,-10200
2023-12-18,Транспорт,0,3900,-3900
2023-12-26,Развлечения,0,9500,-9500
2024-01-08,Зарплата,135000,0,135000
2024-01-14,Фриланс,27000,0,27000
2024-01-17,Еда,0,9400,-9400
2024-01-22,Транспорт,0,3500,-3500
2024-01-29,Развлечения,0,7200,-7200
2024-02-05,Зарплата,135000,0,135000
2024-02-11,Фриланс,31500,0,31500
2024-02-14,Еда,0,9700,-9700
2024-02-19,Транспорт,0,3600,-3600
2024-02-26,Развлечения,0,8400,-8400
2024-03-04,Зарплата,138000,0,138000
2024-03-10,Фриланс,29000,0,29000
2024-03-13,Еда,0,9000,-9000
2024-03-18,Транспорт,0,3400,-3400
2024-03-25,Развлечения,0,7600,-7600
2024-04-01,Зарплата,138000,0,138000
2024-04-07,Фриланс,35000,0,35000
2024-04-11,Еда,0,9900,-9900
2024-04-16,Транспорт,0,3800,-3800
2024-04-23,Развлечения,0,8100,-8100
2024-05-06,Зарплата,138000,0,138000
2024-05-12,Фриланс,24500,0,24500
